VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost
1128,BROWN-FORMAN CORP          ,1233,Jack Daniels No 7 Black,26.270000457763672,36.9900016784668,1750,145080,3811251.5990596535,142049.0,5101919.545958867,672819.34116745,260999.1987812519,68601.68014144897
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.190000534057617,28.989999771118164,1750,164038,3804041.220990577,160247.0,4819073.493848881,561512.3758506775,294438.65792024136,144929.24016594887
17035,PERNOD RICARD USA          ,8068,Absolut 80 Proof,18.239999771118164,24.989999771118164,1750,187407,3418303.6816996327,187140.0,4538120.594429931,461140.1456890106,343854.06779289246,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,4261,Capt Morgan Spiced Rum,16.170000076293945,22.989999771118164,1750,201682,3261197.943604971,200412.0,4475972.85799408,420050.0057888031,368242.7972943783,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,3545,Ketel One Vodka,21.889999389648438,29.989999771118164,1750,138109,3023205.9980639634,135838.0,4223107.622939455,545778.2833118439,249587.82880830765,257032.06952285767
480,BACARDI USA INC            ,3858,Grey Goose Vodka,17.770000457763672,23.989999771118164,750,138809,2466635.9344218546,141860.0,3383912.3923828173,446932.0858364105,111699.19068181515,89286.26965904236
17035,PERNOD RICARD USA          ,2589,Jameson Irish Whiskey,30.760000228881836,39.9900016784668,1750,70783,2177285.078339046,69627.0,2773367.7614158737,614529.3654556274,127931.67004430294,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,3102,Smirnoff Traveler,12.9399995803833,17.989999771118164,1750,161386,2088334.8335112294,148265.0,2592041.3472405286,292586.2862071991,272422.59835374355,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,3489,Tanqueray,20.729999542236328,27.989999771118164,1750,91835,1903739.5476162422,90481.0,2640491.1843656246,503661.01826667786,166244.43946230412,257032.06952285767
12546,JIM BEAM BRANDS COMPANY    ,1376,Jim Beam,16.290000915527344,21.989999771118164,1750,108866,1773427.143471221,107061.0,2435393.3761801976,426902.77576065063,196707.34899687767,123880.96989059448
17035,PERNOD RICARD USA          ,2585,Jameson Irish Whiskey,16.420000076293945,22.989999771118164,750,93205,1530426.0956563728,91247.0,2148965.5205369527,436011.6357574463,71840.57042443752,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,2757,Johnnie Walker Red Label,22.3799991607666,29.989999771118164,1750,66942,1498161.9581153225,61433.0,1840615.6665124462,442856.1986732483,112875.1899946928,257032.06952285767
480,BACARDI USA INC            ,2663,Dewars White Label,21.420000076293945,29.989999771118164,1750,69001,1478001.4231859692,70122.0,2189368.784564132,495957.8340702057,128839.0799818039,89286.26965904236
10000,MAJESTIC FINE WINES        ,6570,Kendall Jackson Chard Vt RSV,6.769999980926514,10.989999771118164,750,215668,1460072.3584552153,214238.0,2326007.7844206234,189608.95611858368,24083.770019337535,17587.590042114258
9165,ULTRA BEVERAGE COMPANY LLP ,3650,Patron Silver Tequila,33.810001373291016,48.9900016784668,750,42951,1452173.3170143086,41639.0,2009508.6388880892,662320.0629882812,32783.09026646614,68054.7001876831
3960,DIAGEO NORTH AMERICA INC   ,2753,Johnnie Walker Black Label,44.77000045776367,59.9900016784668,1750,31596,1414552.9174613995,28372.0,1739044.2945204137,507291.43964385986,52133.720160126686,257032.06952285767
17035,PERNOD RICARD USA          ,5364,Kahlua,23.06999969482422,29.989999771118164,1750,60645,1399080.1486895757,59771.0,1844950.2839674344,504735.05627059937,109817.06999921799,123780.22020339966
3960,DIAGEO NORTH AMERICA INC   ,8082,Baileys Irish Cream,21.729999542236328,33.9900016784668,1750,64249,1396130.7760627782,65184.0,2068091.1787671635,494487.6650314331,119767.4898878336,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,8680,Crown Royal,28.8799991607666,39.9900016784668,1750,47546,1373128.47129198,47966.0,1884307.3708831752,596574.9553565979,88129.8002398014,257032.06952285767
3960,DIAGEO NORTH AMERICA INC   ,4260,Capt Morgan Original Barrel,16.65999984741211,21.989999771118164,1750,79078,1317439.4826945486,79042.0,1635666.5708789825,121065.2486667633,145234.948828578,257032.06952285767
480,BACARDI USA INC            ,3348,Bombay Sapphire Gin,22.3799991607666,29.989999771118164,1750,57349,1283470.6168643977,56888.0,1766391.1250089996,460087.9553089142,104524.54004895687,89286.26965904236
480,BACARDI USA INC            ,3857,Grey Goose Vodka,38.27000045776367,49.9900016784668,1750,33388,1277758.757458202,32945.0,1699669.575171811,589137.8088340759,60533.43021142483,89286.26965904236
8664,"STOLI GROUP,(USA) LLC      ",8112,Stolichnaya,19.520000457763672,24.989999771118164,1750,61936,1208990.7206459066,61323.0,1528730.2640664636,392353.5364189148,112669.44993710518,18544.49001264572
480,BACARDI USA INC            ,126,Grey Goose Vodka,20.139999389648438,32.9900016784668,1000,59878,1205942.9107824753,58013.0,1736610.8762074236,294049.4969711304,60913.64952874184,89286.26965904236
12546,JIM BEAM BRANDS COMPANY    ,3512,Pinnacle Vodka,11.760000228881836,16.989999771118164,1750,101480,1193404.7987145341,98938.0,1624366.6147206824,306439.93574142456,181782.12906074524,123880.96989059448
12546,JIM BEAM BRANDS COMPANY    ,2120,Canadian Club,12.210000038146973,16.989999771118164,1750,97473,1190145.330263106,94960.0,1554498.3958176377,307670.1957244873,174471.92937004566,123880.96989059448
7245,PROXIMO SPIRITS INC.       ,8159,Jose Cuervo Especial,19.690000534057617,25.989999771118164,1750,59088,1163442.7201158018,58610.0,1549701.893766324,431497.8062877655,107685.03007793427,38994.7800655365
480,BACARDI USA INC            ,4243,Bacardi Superior Rum,14.489999771118164,19.989999771118164,1750,76389,1106876.6105593792,77041.0,1657809.578755642,342678.84640312195,141551.6093479395,89286.26965904236
8112,MOET HENNESSY USA INC      ,6654,Veuve Clicquot Brut Yellow,27.200000762939453,39.9900016784668,750,40380,1098335.99921036,38506.0,1584665.4236244175,349562.07231903076,4316.360008180141,48347.26006126404
